Yayasan,Alamat,Telp
Pondok Pesantren Riyadus Sholihin,JL. Lokajaya NO. 26,0283-3320292
Pondok Pesantren Roudlotul Huda,"JL. Besuki KM. 1,5, Dusun Dadapgede",081392045101
Yayasan AR RAIHAN,"Bantul Kota,",HP  0815 7806 8524
Yayasan Al Islah Sleman,"Ds Sinduharjo, Kec. Ngaglik, Kab. Sleman",
Yayasan Ghifari,"Catur Tunggal,Depok,Sleman",
Yayasan Abu Bakar,Jln. Veteran Gg. Bekisar 716Q Umbulharjo Yogyakarta,
Yayasan Lukmanu Al Hakiem,Jln. Timoho 2 Gg Delima No.2 Yogyakarta,
Pondok Pesantren Yatim Daaru Aytam Baitussalam,"Jl. Parangtritis Km. 8,5, Dusun Miri Rt. 27 Pendo woharjo, Sewon, Bantul",
Yayasan Nafisa,"Jl. Pasar Pundong, Srihardono, Pundong, Bantul",
Pondok Pesantren Darrul Maghfiroh,"Dusun Kedungpoh Lor, Desa Kedungpoh, Nglipar, Kab. Gunung Kidul",
Pondok Pesantren Al Kalamy,"Desa Tegalrejo, Janten, Kec.Temon, Kab. Kulon Progo, DIY 55654,",0274 7492595
Pondok Pesantren Modern Baitussalam,"Desa Pulerejo, Bokoharjo, Kec.Prambanan, Kab. Sleman, DIY,",0274 7482539
Pondok Pesantren Daaru Hira,"Dusun Malangrejo, Desa Widomartani, Kec. Ngemplak, Sleman, DIY",
Panti Asuhan Yatim Putri Aisyiyah,"Jl. Munir 109 Desa Serangan, Kecamatan Ngampilan, Kab Yogyakarta, Prov. DIY.",: 0274 374918
Pondok Pesantren Al Luqmaniyyah,"Jl. Babaran Gang Cemani, Kalangan, Pandeyan Umbulharjo, Yogyakarta.",: 0274 377838
Pondok Pesantren Muhammadiyah Darussalam,"Mergangsan MG.III/1361 YK, Jl. Lowanu, Desa Brontokusuman, Kec. Mergangsan, Kab. Kodya Yogyakarta, Prov. DI. Yogyakarta",0274 373113
Pesantren Kejuruan Ummatan Wasathon,"Jl. Imogiri, Km.15, Desa Wukirsari, Kec. Imogiri, Kab. Bantul",0274 7837827
"Gereja Katolik Maria Assumpta, Pengembangan Sosial","Jl. Ispeksi Selokan Matraam, babarsari, Catur tunggal, Depok, Sleman Yogyakarta 55281",0274 48720
Yayasan Nurul Ummah,"Perumahan Jambusari Indah, Jl. Mangga 1 Sleman Yogyakarta","0274 884650, 888831"
Pondok Pesantren Fauzul Muslimin,Jl. Nyi Pembayun 21 Karang Prenggan Kotagede Yogyakarta 55172,0274 415905
Pondok Pesantren Al Furqon,"Dk 16 Murtigading, Sanden, Bantul, DI Yogyakarta. 55673.",0274 6464235
Pondok Pesantren Al Quran Abdul Basyid,Wonokromo II Plered Bantul DI Yogyakarta,
Pondok Pesantren Fadlan Minallahi Wanimah,Madrasah Al-Quran Godegan Trimurti Srandakan Bantul Kodepos 55762,
Pondok Pesantren Tarbiyatul Quran,"Serut Gupakwarak, Sendangsari Pajangan bantul DIY , Kode POS 55751","0813 920 1026, 085292 702050"
Pondok Pesantren Al Alimiyyah,"Gowangsan, RT 22 RW 11 Srikayangan, Sentolo, Kulon Progo DI. Yogyakarta 55664,",HP  081328191454
Pondok Pesantren Putra Putri Al Mahbubiyah,"Sawahan Rt. 007/30, Mlangi, Desa Ngogotirto, Kec. Gamping, Kab. Sleman, Prop. Yogyakarta",
Yayasan Bina Umat Pondok Pesantren Bina Umat,Setran Sumber Arum Moyudan Sleman Yogyakarta,
Pondok Pesantren Salafiyah Al Qodir,"Tanjung, Wukirsari, Cangkringan,Sleman DIY 55583",0274 - 896466
Yayasan Al Hikmah Miliran,Jl. Kenari 33 DIY  Kode Pos 55156,0274 520333. 561332
Pondok Pesantren Al Khairaat,Celeban Baru UH III/633E Rt. 28A Rw. 07 Tahunan Yogyakarta,
Pondok Pesantren Ar Rahman,semampir Argorejo Sedayu Bantul DIY,0815 680 5067
Pondok Pesantren Al Quran,"Kedungpring Giripeni, Wates Kulonprogo 55612",0274 733814
Pimpinan Aisiyah Cabang Wates Utara,"Jl. Gadingan 3A, Kulonprogo 55611.","02747878036, 7814579"
Yayasan Assakinah Pesantren Hidayatullah,"Jl. Palagan Tentara pelajar Km 14,5 Balong, Donoharjo, Ngaglik, Sleman.","02740 7496995,   HP  08121508201"
Pesantren Ekonomi Islam Terpadu Darul Falah,Jl. Masjid No. 85C Nglaren Ds. Condong Catur Kec. Depok Kab. Sleman,"0274- 7836334, 485970"
Pondok Pesantren Darussalam,Jl. Jogokerten I/13 Trimulyo Sleman DIY,HP  08282743223/    0813 288 19228
Zawiyah Kampoeng Tentrem,Perum Tiara Citra 2/B5 Meguwoharjo Sleman DIY 55282,
Pondok Pesantren Dan Panti Asuhan Zuhriyah,"JL. Palagan Tentara Pelajar Km.10 Rejodani, Sariharjo, Ngaglik, Sleman, Yogyakarta Kode Pos 55581,",0274-866663
Yayasan Majlis Tafsir Al Quran (MTA),"Gambiran 282 Rt.40/10 UH V, Pandean, Umbullharjo, Kodya Yogyakarta,","085220085175, 0816686701"
Pondok Pesantren An Nur,Pedak Trimurti,"0274-8289181, 0274-7002226 / 08121574077"
Lembaga Al Insyiraah,RT. 35/16 Kalikepek,0274-774066
Yayasan Pembinaan dan Pengembangan Pemuda Islam (Y,"Brangka, RT. 55/18",0274-7006183
Yayasan Mulia Yogyakarta,Jl. Nyai Ahmad Dahlan NO. 24,0274-7478836 / 085292505670
Pondok Pesantren Darul Fiqhi IV Duri,Jl. Duri Kedungrejo Nyimbang Lamongan.,081553458353
Pondok Pesantren Al Bakriyah,"Desa Lomaer, Kacamatan Blega, Kabupaten Bangkalan Madura, Jawa Timur. 69174.",
Pondok Pesantren Al Ibrahimy (YAPII),"Jl. Raya No. 61, Konang, Kabupaten Bangkalan Madura, Jawa Timur.",031 3041645
Pondok Pesantren Daarul Uluum,Desa Bumiharjo Kec. Glenmore Kab. Banyuwangi,
Pondok Pesantren  Al Aqso,"Desa Jati Tengah, Kec. Seloputro Kab. Blitar",
Pondok Pesantren Al Falah,"Jeblog Talun, Kabupaten Blitar, Jawa Timur 66183.",0342 441502.
Pondok Pesantren Asrama Perguruan Islam Salafiyyah,"Dusun Sana, Desa Gondang, Kecamatan Gandusari, Kabupaten Blitar, Jawa Timur Tromol Pos : PO BOX 1/A Talun.",: 0342 691545
Pondok Pesantren Salafiyah Darur Roja,"Jl. KH. Wahid Hasyim No. 1 Selokajang Srengat, Kabupaten Blitar, Jawa Timur 66152.",: 0342 552154
Panti Asuhan Yatim Muhammadiyah,Jl. Basuki Rachmad Gang Aspol 89 A Kec. Bojonegoro Kab. Bojonegoro,
Pondok Pesantren Al Ishlah,"Jl. Raya Jember KM.7, Desa Dadapan Kec. Grujugan Kab. Bondowoso",
Pondok Pesantren Ad Dhuha,"Tegal Gede, Desa Sumber Sari, Kec. Sumber Sari, Kabupaten Jember",
Pondok Pesantren Darul Muqomah,"Jl. Sultan Agung No. 2-4, Desa Purwoasri, Kecamatan Gumukmas, Kabupaten Jember, Jawa Timur 68165.",: 0336 321844 ; Fax.: 0336 322478
Pondok Pesantren Al Hikmah Bahrul Ulum,"Tambak Beras, Kabupaten Jombang, Jawa Timur 61451.",: 0321 863329
Pondok Pesantren Darul Hakam,"Jl. Irian Jaya No. 41 Desa Cukir, Kecamatan Diwek, Kabupaten Jombang, Jawa Timur.",0321 864139
Pondok Pesantren Darul Ulum,"Rejoso, Peterongan, Kabupaten Jombang, Jawa Timur. PO. BOX. 3 Jombang 61481.",: 0321 876647 ; 864927
Pondok Pesantren Hidayatul Mubtadiin,"Ds. Kwaringan, Kec. Gajah Ngoro, Kabupaten Jombang, Jawa Timur.",0321 7269601 - 710153.
Pondok Pesantren Mambaul MaArif,"Denanyar, Kabupaten Jombang, Jawa Timur.",: 0321 7298452
Pondok Pesantren Tarbiyatunnasyiin,"Dusun Pacul Gowang Ds. Jatirejo, Kec. Diwek Kab. Jombang",0321866465 / 875048 / 0858.5618.8479
Pondok Pesantren Al Hikmah Gendo,"Dkh. Kweden, Desa Karang Rejo, Kec. Gampeng Rejo, Kab. Kediri",
Pondok Pesantren Al Huda,"Jl. Masjid Al-Huda, Kelurahan Ngadirejo, Kecamatan Kota, Kota Kediri, Jawa Timur.",: 0354 694716
Pondok Pesantren HM Antara,"PO.Box. 140 Lirboyo Mojoroto, Kota Kediri, Jawa Timur.",0354 772351
Pondok Pesantren Roudlatul Ulum,"Kencong Kupang- Pare, Kabupaten Kediri, Jawa Timur 64201.",0354 395600
Pondok Pesantren Roudlotul Mutaallimin Taman Santr,"Canggur Pare, Kabupaten Kediri, Jawa Timur.",: 0354 7023216
Yayasan Pondok Pesantren Sunan Drajat,"Jl. Raden Qosim Banjarwati Paciran, Kabupaten Lamongan, Jawa Timur.",0322 662261 / 0322.661303
aesabuti,"Dusun Brumbun Desa Lamongrejo, Kecamatan Ngimbang, Kabupaten Lamongan, Jawa Timur.",HP  : 081553757023
Yayasan Kyai Syarifuddin,"Jl. PPS. Kyai Syaifuddin, Desa Wonorejo, Kecamatan Kedungjajang, Kabupaten Lumajang, jawa Tengah.",: 0334 884687.     Fax. : 884686
Pondok Pesantren Salafiyah Al Basyariyah,"Jl. Tirtotejo No. 54 Desa Kenongorejo, Kecamatan Pilangkenceng, Kabupaten Madiun, Jawa Timur.",: 0351 383536
Pondok Pesantren An Nur I,"Jl. Diponegoro IV/2-6, Kec. Bululawang, Kabupaten Malang, Jawa Timur.65171,",": 0341  - 805610, 833739"
Pondok Pesantren As Sa’id,"Desa Arjosari, Kec. Kalipare, Kabupaten Malang",
Pondok Pesantren AL Hasyimiyah,"Jl. Cakarayam I No. 18, Kelurahan Mantikan, Kecamatan Prajurit Kulon, Kabupaten Mojokerto, Jawa Timur.",: 0321 321679 ; Fax. : 0321 322543
Pondok Pesantren Subulul Huda,"Jl. Abdurrahman Saleh IV No. 56 A Bogo, Kabupaten Nganjuk, Jawa Timur.",: 0358 322485
Pondok Pesantren Nurul Asyhar,"Desa Teguhan, Kecamatan Paron, Kabupaten Ngawi, Jawa Timur.",: 0351 771 7591 ; HP  : 081335645904
Pondok Pesantren Al Hidayah,"Ds. Sondriyan Kendal, Kabupaten Ngawi, Jawa Timur.",: 0812 3442014. HP  081335303741
Pondok Pesantren Arrahmah,"Jl. Masjid Arrahmah No. 17 Desa Simoboyo, Kec. Pacitan, Kab. Pacitan",
Pondok Pesantren Tremas,"Jl. Raya Pacitan 63581,",0357 631030
Pondok Pesantren Miftahul Ulum,"Kebun Baru, Kacok, Palengaan, Kabupaten Pamekasan, Jawa Timur.",: 0334 884687 ; Fax. : 0334 884686
Pondok Pesantren Al Islami   As Salafy Taman Sari,"Jl. Pon PesTaman Sari,  Desa Palengaan Loak, Kec. Palengaan, Kab. Pamekasan,  Madura 69362.",0324 7707989 / 7707011 / HP  0813321060
Pondok Pesantren Ar Raoudloh,"Dusun Tambakrejo, Kec. Paserepan, Kabupaten Pasuruan, Jawa Timur.",HP  08123499989
Pondok Pesantren  Ihyaaussunnah,"JL Wiroguno II , No 5 , Desa Toyaning Kec. Rejoso Kab.  Pasuruan Jawa Timur",
Pondok Pesantren Wisata Al Asyary Al Khoziny,"Ds. Watuagung, Kec. Prigen, Kabupaten Pasuruan, Jawa Timur.",: 0343 7710014 ; HP  : 0812 23597704
Pondok Pesantren Miftahul Falah,"Selotambak Kraton, Kabupaten Pasuruan, Jawa Timur. 67151.",0343 7758275 / 08179606696
Pondok Pesantren Al Bayyinah,"Dusun Kramat, Desa Tarokan, Kecamatan Banyuanyar, Kabupaten Probolinggo, Jawa Timur.",: 0335 611330 / 081559500148
Yayasan Amanah,"Jl. Mayjen Panjaitan No 18, Desa  Sidomukti  Kec. Kraksaan Kab. Probolinggo",0335 841551
Pondok Pesantren Zainul Hasan 2,Desa Tambelang Kec. Krucil Kabupaten  Probolinggo,
Pondok Pesantren Al Kahfi,"Desa Singongalih Kec. Tarik, Kab. Sidoarjo",
Pondok Pesantren Putri Al Hikmatul Hidayah,"Jl. Kedung Cangkring, Kec.  Jabon, Kabupaten Sidoarjo, Jawa Timur.",: 0343 851306
Pondok Pesantren Annuqayah Latee I,"Kelurahan Guluk-Guluk, Kecamatan Guluk-Guluk, Kabupaten Sumenep, Jawa Timur.",: 0328 821097
Abu Hurairah **),Kec. Sepeken Kab.Sumenep,
Pondok Pesantren Hidayatul Mubtadiin,"Desa Sugih Waras, Kec. Jenu, Kabupaten Tuban",
Pondok Pesantren Wali Songo Gomang,"Jl. Sunan Kalijaga,Gomang Lajulor Singgahan, Kabupaten Tuban, Jawa Timur. 62361",: 0356 7007925
Pondok Pesantren Al Ghozali,"Dusun. Bolu,  Desa. Punjul, Kec.Karangrejo, Kabupaten Tulungagung 66253.",": 0355 329042, 329329"
Yayasan Pesulukan Thoriqot Agung,"Jl. KH. Wahid Hasyim No. 27 Kabupaten Tulungagung, Jawa Timur 66211.",: 0355 322887 ; 329714 ; 332254
Pondok Pesantren  Al Aqsha,"Desa Besole, Kec. Besuki  Kab. Tulung Agung",
Pondok Pesantren Maftahul Ulum,"Desa Jatinom, Kec. Kanigoro, Blitar",
Yayasan Aisyiyah Panti Asuhan Yatim Aisyiyah (PAYA,Jl. Sikatan No. 331,0353 332958
Pondok Pesantren Saifur Rijal As Salafi,"Jl. Raya Tancak Kembar, Tapal Batas Desa Kupang, Kec. Pakem, Kab. Bondowoso, Jatim",
Pondok Pesantren Al Madienah,Jl. Imam Bonjol (Timur Gedung MAN) Denanyar Jombang Jatim,0321 872206
Pondok Pesantren Al Ishlah,Jl. KH Hasyim Asyari No. 1 Bandar Kidul Mojoroto Kota Kediri,"0354-771772, 779585,780272"
Pondok Pesantren Al Barokah,"Jl. Sunan Ampel, Gilang Barat, Lamongan.",0322-451560
Pondok Pesantren Raudlatul Mutaalimin,"Dusun Tegalrejo, Desa Datinawong, PO BOX 8, Babat. Lamongan",0322 7705070 / 45146 / 0811333701
Pondok Pesantren Tarbiyatut Tholibah,"Desa Kranji Jl. KH. Musthofa Kec. Paciran, Kab. Lamongan","0322 661604, 661958"
Pondok Pesantren Salafiyah Sholawat,"Dusun Klubuk, Desa Kedungrejo, Kec. Pilangkeceng, Madiun",0351 384648 / 081556457566
Pondok Pesantren Hidayatul Mamun,"Dusun Joso, Desa Turi, Kec. Panekan, Magetan",0351 7705433 / 081556649499 / 0815560184
Yayasan Fathul Ulum,"Desa Kepatihan, Kec. Tirtoyudo, Kab. Malang, Jatim.",085233087472
Pondok Pesantren AL  Masudy,"Jl. Terongmalang, No 1. Desa Simbaringin, Kec. Kutorejo, Mojokerto, Jatim",0321 595703 - 7151378
Pondok Pesantren Al Istiqomah II,"Dusun Merak, Desa Bendung Jati, Kec. Pacet, Kab. Mojokerto",0321 691236
Pondok Pesantren Darunnajah,"Kebonagung, Sawahan Nganjuk - Jatim",0358 325743
Lembaga Islam Al Gozali/ Pondok Pesantren Miftahul,"Jl. KH. Wahid Hasyim 126 PO BOX 02/12 Warujayeng Nganjuk,",0358 773456
Pondok Pesantren Miftahul Ula,Komplek Al Halim Miftahul Ula Nglawak Kertosono Nganjuk.  Skretariat Jl Hos Cokroaminoto 35,358
Pondok Pesantren Al Fallah,"Desa Kikil, Kec. Arjosari, Pacitan",0357 631008
Pondok Pesantren Nurul Yaqin,"Jl. Kakaktua, Dusun Kasat, Rt.04/1, Desa Wiyoro, Kec. Ngadirejo, Kab. Pacitan, 63572.",0357 441792
Yayasan Khoirul Anwar,"Jl. Pasar Legi, Desa Jeruk, Kec. Bandar, Kab. Pacitan.",0357 351044
Pondok Pesantren Nurul Islam,"Jl. Raya Pegatenan Utara, Kab. Pamekasan","0324 327960, 081332139046"
Yayasan Panti Asuhan Yatim Piatu dan Duafa Darul A,"Jl. Soekarno Hatta No.41, Ponorogo, Jatim.",489230/7127888/    081 33 555 6728
Pondok Pesantren Az Zahir,"Jl. Dusun Sukun, Desa Widoro, Kec. Krenjengan, Kab. Probolinggo, Jatim",0335 843464/08123496453
Pondok Pesantren Nurul Jadid,"Desa Tanjung Lor, Kec. Karanganyar, PO.Box 1, Paiton, Probolinggo.","0335 771380, 772586, 08179634680, 081336"
Pondok Pesantren Salafiyah Syafiiyah,"Desa Sukorejo Situbondo, Jatim","0338 452666,452671"
Pondok Pesantren Tanjung Rejo,"Desa Tanjung Glugur, Kec. Mangaran, Kab. Situbondo",0338 67186
Pondok Pesantren Nurul Huda,"PO BOX 02 Peleyan, Kapongan, Situbondo 68362","0338 674943, 5501840"
Pondok Pesantren Annuqayah,Guluk-guluk Sumenep Madura 69461,"0328 823375, 08175197923, 08175094414"
Pondok Pesantren Darussalam Salafiyah Syafiiyah,"Desa Tanjung Keakok (Pulau Sepanjang), Kec. Sapeken (Kepulauan), Kab. Sumenep, Jatim.","0327 511134, 081332134"
Yayasan Pondok Pesantren Nurul Islam,"Desa Dasuk Laok, Kec. Dasuk, Kab. Sumenep",
Pondok Pesantren Manbail Futuh,"Desa Beji, Kec. Jenu, Kab. Tuban","0356 711132, 711157, 7009019"
Pondok Pesantren An Nur Fuadi,Jl. RA. Kartini No. 24 Kel. Kraton Bangkalan 69111,
Pondok Pesantren Hidayatul Mubtadiin,Dusun Beru-Desa Bumiaji-Kecamatan Bumiaji-Kota Batu-Jawa timur,0341-597735/      0341-7349110
Pondok Pesantren Tahfidzul Quran Darussalam Na Nas,"Jl. Semeru, Desa Punten, Kec. Bumiaji, Kota Batu.","0341 6109596, 085649181387"
Yayasan Al Hikmah Bence,Jl. Asngari Rt. 03/03 Bence-Garun-Blitar,
Pondok Pesantren Mambaul Ulum,"Jl. Masjid Baiturahman 107 Wadang Ngasem Bojonegoro, 62154",0353 7731048
Pondok Pesantren Sirojul Hikmah,"Dukuh Pesantren, Desa Bendo, Kec. Kapas Bojonegoro",HP  081335146281
Yayasan Pondok Pesantren Al Furqon,Jl. Tamanan N0 41,
Yayasan Nurut Tholabah,Jl. Mastrip 17/6 Bunder Bondowoso 68219 Jawa Timur,0332-422646
Pondok Pesantren Salafiyah Syafiiyah,"Jl. Watu Ulo No. 02, Sabrang, Ambulu, Jember, Jawa Timur",
Yayasan Sosial dan Pendidikan Pondok Pesantren Sun,Jl. Kartini 03 Kebonan Gumukmas Jember,0336 322967
Pondok Pesantren Al Masruriyyah,Jl. Irian Jaya 49 Tebu ireng Jombang 61471,"0321 718 2182, 724 2436"
Pondok Pesantren Al. Madienah,PP. AlMadienah Jl. Imam Bonjol (Timur Gedung MAN) Denanyar Jombang,0321-872206    Fax.0321-873506
Pondok Pesantren Al Hidayah,Dusun Brumbun desa lamongrejo Kec. Ngimbang Kab. Lamongan,HP  0815 537 57023
Pondok Pesantren Al Mudhofar/ Yayasan Mahar Sukses,Desa Made Kec. Lamongan Jawa Timur,0322 317 550
Pondok Pesantren Al Muslimin,"Jl. Masjid No.279 Kawistolegi Kec. Karanggeneng Kab Lamongan, Prop. Jatim",
Pondok Pesantren Al Furqon,Desa jati sari kec. Geger Kab. Madiun,
Pondok Pesantren Wisma Wisnu,Jerukgulung Balerejo Madiun Jawa Timur,0351 386536
Pondok Pesantren Salafiyah Babul Ulum,Desa Tempursari RT 06 RW. II Kec. Wungu Madiun Jawa Timur,
Pondok Pesantren Miftahul Ulum,Jl. Raya Sempol 436 Kec. Pagak Kab. Malang,
Pondok Pesantren Raudlatul arifin,Jl. Raya Slamet Gg. Pesantren No. 28 Slamet Tumpang Malang,
Lembaga Pendidikan Islam Terpadu (LPIT) INSAN PERM,"Jl. Arumba No. 7, Kel. Tunggul Wulung, Kec. Lowokwaru, Kota Malang, Jawa Timur",
Pondok Pesantren Darul Hikmah,Jl. Niaga 42 Sawahan I Mojosari Mojokerto 61382 Jatim,0321 591084-597971
Pondok Pesantren Miftahul Huda,Desa Gerih Kec. Gerih Kab.Ngawi Jatim,0351 7788327
Yayasan Pendidikan Sosial dan Dakwah Ash Shiddiqiy,"Dusun Rengoh, Desa Tambung, Kec. Pademawu, Kab. Pamekasan",
Pondok Pesantren Al Islam Joresan Mlarak Ponorogo,Jl. Madura Joresan Mlarak Ponorogo 63472,Fax. 0352-311340
Yayasan Qurrota Ayun,"Jl. Thamrin No. 77, Ponorogo, Jawa Timur",
Pondok Pesantren Nahdlatul Mutaalimin,Jl. KH M Sholeh No. 401 Kropak Bantaran Probolinggo,0335 427750
Pondok Pesantren Nurul Abror,"Jl. Karanganyar 123 Asem Bakor, Krakasan Probolinggo Jatim",0335 760 7024
Pondok Pesantren Nurutt Dakwah,Jl. Penangan 98 Sokaan Krejengan Probolinggo,"0335 8443 94, 846161"
Balai Pendidikan Al Mubarokah Porong,Jl. Pesantren No. 188 Porong,
Pondok Pesantren Al Cholily,"Desa Sumber Kolak, Kec. Panarukan, Kab. Situbondo, Jawa Timur",
Yayasan Al Hadi/Pondok Pesantren Tahsinul Akhlak,"Jl. Raya Bondowoso,Komplek Ponpes Tahsinul Akhlak Kalibagor, Situbondo",0338-673395
Pondok Pesantren Asrorus Salafiyah,"Desa Sumber Kolak, Kec. Panarukan, Kab. Situbondo, Jawa Timur",
Pondok Pesantren Nurul Ihsan,"Dusun Karanganyar, Desa Kendit Kec. Kendit, Kab. Situbondo, Jawa Timur",
Pondok Pesantren Ar Rahman,"Desa Lembung Barat, Kec. Lembung Barat, Kab. Sumenep",
Pondok Pesantren Khairul Muttaqin,"Desa Banaresep Timur, Kec. Lenteng, Kab. Sumenetp, Propinsi Jawa Timur",
Yayasan Al Amanah,"Jl. P. Hidayatullah, Gg. Sedap Malam 10 Trenggalek, Jawa Timur",
Yayasan Pondok Pesantren Darul Muttaqin,"Desa Jatiprahu, Kec. Karangan, Kab. Trenggalek, Jawa Timur,",0355-793090
Pondok Pesantren Darussalam,"Rt. 30/08 Dusun Cangkrin, Desa Sumberingin, Kec. Karangan,",0355-792594
Yayasan Nurul Fikri,"Desa Sukorejo, Kec. Gandusari, Kab. Trenggalek, Propinsi Jawa Timur",
Yayasan Pondok Pesantren Tarbiyatus Sholikin,"Desa Munjungan,, Kec. Munjungan, Kab. Trenggalek, Jawa Timur,",0355-691135
Pondok Pesantren Salafiyah Nurul Jadid,"Jl. KH. Masyhudi No.363 Merakurak, Tuban. 62355.","0356 711308, 712190, 081335175107, 0856"
Pondok Pesantren Miftahul Marifah,"Jl. Jarakan, Desa, Jarakan, Kec. Gondang, Kab. Tulungagung, Jawa Timur",
Yayasan Pondok Pesantren Roudlotul Hikam,Desa Srikaton Kec. Ngantru Tulungagung,0355 336164 HP  0815 56472 944
Yayasan Pondok Pesantren Asshiddiqi,Jl. Datuk Ibrahim 1 Dsn. Sepanjang Kec. Glenmore Kab. Banyuwangi,0333- 821293
Pondok Pesantren Ihya Ulumuddin,"JL. KH. Abdullah Hasbulloh No.08 Padang Kec.Singojuruh Kab.Banyuwangi,","0333 630321, 081358775933"
Pondok Pesantren Mambaul Ulum,Jl KH askandar KM 2 Berasan Muncar Banyuwangi,0333-592791
Pondok Pesantren Al Istiqomah,"Desa Mojosari, Kec. Kepohbaru, Kab. Bojonegoro",
Yayasan Mambaul Ulum (YMU) Pondok Pesantren Mambau,Jl. Stasiun  Prajekan Kidul 0332-560166 Kec. Prajekan Kab. Bondowoso 68285 JATIM,
Pondok Pesantren Hujjatul Islam,Ds. Bendelan Rt 1/2 Arjasa,
Pondok Pesantren Miftahul Ulum,"Dusun Karanganom, Desa Karangbayat, Kec. Sumberbaru, Kab. Jember,",
Pondok Pesantren Nurul Islam,"Jl. Pangandaran 48, Antirogo, Sumbersari, Jember - 68125,","0331-339544,    Fax.0331-333002"
Pondok Pesantren Rohmaniyah,Jl. Sastrodikoro 29 Lumajang,334882868
Yayasan Panti Asuhan Anak Yatim Al Ikhlas,Jl. KH.Hasyim Asyari Brongkal Pagelaran Malang JATIM,
Pondok Pesantren Al Ittihad,Jl. Raya Belung No. 1 Ponco Kusuma.,0341-788356   08123386126
Yayasan Rohmatan Lilalamin,"JL. Raya Sumedang Kepanjen Kab.Malang,",Fax.0341 391600
Pondok Pesantren Ilmu Al Quran Al Adziim,"JL. Masjid Barat Rt.07/02 Desa Undaan Barat Kec.Turen Kab.Malang Jatim,",0341 826183
Yayasan Pondok pesantren Asy Syafiiyah Kesemen Ngo,"Jl. Diniyah Desa Kesemen, Kec. Ngoro, Kab. Mojokerto - 61385,","0321-6817684,   0856 488 63943"
Yayasan Pendidikan Pondok Pesantren Mftahul Ulum,JL. Abd. Mutholib No.07 Gogor Madureso Dawarbladong Mojokerto JATIM,0321 6135761-08113424812
Pondok Pesantren & Panti Asuhan Al Huda,Jl. Abdul Rachman Soleh No. IV 56A Bogo Nganjuk,0358-6160676 081615118646
Pondok Pesantren Salafiyah Al Alif,Jl. Sukomoro- Pace Km. 1 Kapas Sukomoro Nganjuk,0358- 330008
Pondok Pesantren Sabilul Hidayah,Dsn. Lodro Ds. Bogoharjo Rt.04/02 Kec. Ngadirojo Kab. Pacitan,HP  0813359100232
Pondok Pesantren Al Inayah,"Sumberbatu, Pegantenan, Pamekasan",
Yayasan LPI PSDM  Al Kautsar,"Komp. Masji Darusslam, Ds. Pademawu Barat Kec. Pademawu Kab. Pamekasan - MADURA",
Yayasan Melati Indonesia,Jl. Nugroho No. 21 Kab. Pamekasan,
Yayasan Nurul Himam As  Saidi,"Pondok Pesantren Miftahul Ulum Sekar Anyar Ds. Rombu Kec. Palengaan, Kab. Pamekasan",0817- 5169689
Lembaga Pendidikan Pondok Pesantren Hudatul Muna 2,"JL. Yos Sudarso No.2B Jenes Ponorogo,","0352 487217, Fax.485233"
Pondok Pesantren Ainul Hasan Mandiri,Jl. KH Hassan Genggong Gg. Satria Bd. Wonorejo Maron Probolinggo JATIM,0335613345    085231714147
Yayasan Pondok Pesantren Bani Rancang,Jl. Brawijaya Lemah Kembar Sumber Asih Probolinggo,03357607668 0813336664749
Pondok Pesantren Miftahul Hasanain,Jl. KH Syadullah Rawan Krejengan Probolinggo 67284,0335 844804 HP  08133 688 5766
Pondok Pesantren Al Azhar Azzayyadiyah,"JL. KH. Agus Salim V/3 , JATIM",0323 321954
Yayasan Al Ikhlas Pondok Pesantren Hidayatullah,"JL. Dr. Sutomo Gg. Ngamarto Darang, Tamanan, Trenggalek,","0355 796565, 08283363365"
Lembaga Pondok Pesantren Bumi Hidayat At Taqwa,"Ds. Kedunglurah Kec.Pogalan Kab.Trenggalek 66371,  JATIM",81335735983
Lembaga Pondok Pesantren Mambaul Hikam,Ds. Sugihan Kec. Kampak Kab. Trenggalek,0355 631434
Yayasan Al Hadi Ismi Pondok Pesantren Manbaul Huda,"JL. Veteran No. 52, Desa Banjararum, Kec. Rengel, Tuban,",0356 7024653
Yayasan Pondok Pesantren Al Mobarrokah,"JL. RA Kartini No.17 Desa Kedung Jambe Kec.Singgahan Kab.Tuban Jatim,",81554679330
Pondok Pesantren Mustofawiyah,Jl Masjid Awwabin Palang  Palang Tuban 62391,0356-7003676
Yayasan Pondok Pesantren Ar Roudloh,"JL. Rm Jayengkusumo Dsn Gajah Oyo 19 Demuk Pucandlaban Tulungagung 66284,",08123434713
Yayasan Pendidikan dan Dakwah Al Qomar,Jl. Gajah Mada NO. 43,0333-421812
LPI Sosial Kemasyarakatan Roudlotul Jannah,Dusun Manggar,081359707892
Yayasan Al Fakirin,Kesemek,081946692390
Yayasan Al Khairiyah,JL. KH. Asyari 326,0332-427033
Ponpes Mambaul Ulum,,
Pondok Pesantren Nurul Makrifa Al Hakiki,Jl. Curahdami,081336787782
Ponpes Al Mahadun Nidzom Semboro,JL. Masjid Al Firdaus NO. 3,0336-441202
Yayasan Pendidikan dan Sosial Al Baghdadi,Perak,03216129077/5167871
Pondok Pesantren Islam Terpadu Al Manshur,JL. Pare Papar KM. 5,"08125969156, 081259130971"
